Order Number,Cust Code,PO,Item,Part ID,Required Qty,Request Date,Estimated Delivery Dates,Pulling Dates,Available Qty,Fulfilled Qty,Remaining Qty,PO Create Date,Lead Time (Days),Status,Notes,Stock Before,Stock After,Stock Used,Flight Qty Used,Flight Details,Warehouse Notes
117,KS4100,4101439921,00080,X1G005441002216,6000,2025-11-02,"3000×2025-10-22 (flight), 3000×2025-10-22 (flight)","3000×2025-10-20, 3000×2025-10-20",6000,6000,0,2025-08-04,-11,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-15),0,0,0,6000,"3000×2025-10-15, 3000×2025-10-15",3000 from flight 2025-10-15 → 2025-10-22; 3000 from flight 2025-10-15 → 2025-10-22
118,KS4100,4101439921,00090,X1G005441002216,6000,2025-11-02,"3000×2025-10-22 (flight), 3000×2025-10-22 (flight)","3000×2025-10-20, 3000×2025-10-20",6000,6000,0,2025-08-04,-11,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-15),0,0,0,6000,"3000×2025-10-15, 3000×2025-10-15",3000 from flight 2025-10-15 → 2025-10-22; 3000 from flight 2025-10-15 → 2025-10-22
119,KS4100,4101439921,00100,X1G005441002216,6000,2025-11-02,6000×2025-10-22 (flight),6000×2025-10-20,6000,6000,0,2025-08-04,-11,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-15),0,0,0,6000,6000×2025-10-15,6000 from flight 2025-10-15 → 2025-10-22
120,KS4100,4101439921,00110,X1G005441002216,6000,2025-11-02,6000×2025-10-22 (flight),6000×2025-10-20,6000,6000,0,2025-08-04,-11,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-15),0,0,0,6000,6000×2025-10-15,6000 from flight 2025-10-15 → 2025-10-22
121,KS4100,4101439921,00120,X1G005441002216,3000,2025-11-02,3000×2025-10-22 (flight),3000×2025-10-20,3000,3000,0,2025-08-04,-11,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-10-15),0,0,0,3000,3000×2025-10-15,3000 from flight 2025-10-15 → 2025-10-22
122,KS4100,4101439921,00130,X1G005441002216,6000,2025-11-02,6000×2025-10-22 (flight),6000×2025-10-20,6000,6000,0,2025-08-04,-11,Awaiting Flight,Fully fulfilled from flights: 6000 (last departure: 2025-10-15),0,0,0,6000,6000×2025-10-15,6000 from flight 2025-10-15 → 2025-10-22
123,KS4100,4101439921,00140,X1G005441002216,6000,2025-11-09,No Flights Available,N/A,0,0,6000,2025-08-04,0,No Inventory Available,No current stock or future flights available. Required: 6000,0,0,0,0,,No inventory available - no current stock or future flights
124,KS4100,4101439921,00150,X1G005441002216,6000,2025-11-09,No Flights Available,N/A,0,0,6000,2025-08-04,0,No Inventory Available,No current stock or future flights available. Required: 6000,0,0,0,0,,No inventory available - no current stock or future flights
125,KS4100,4101439921,00160,X1G005441002216,6000,2025-11-09,No Flights Available,N/A,0,0,6000,2025-08-04,0,No Inventory Available,No current stock or future flights available. Required: 6000,0,0,0,0,,No inventory available - no current stock or future flights
126,KS4100,4101439921,00170,X1G005441002216,6000,2025-11-09,No Flights Available,N/A,0,0,6000,2025-08-04,0,No Inventory Available,No current stock or future flights available. Required: 6000,0,0,0,0,,No inventory available - no current stock or future flights
127,MX2300,2000228711,00010,SG-8018CB 100.0000MHz TJHPA,1000,2025-09-15,No Flights Available,N/A,0,0,1000,2025-08-11,0,No Inventory Available,No current stock or future flights available. Required: 1000,0,0,0,0,,No inventory available - no current stock or future flights
128,MX2300,2000228711,00020,SG-8018CB 100.0000MHz TJHPA,1000,cancel,Invalid Date,N/A,0,0,1000,2025/08/11,0,Invalid Date,Invalid request date: 'cancel',0,0,0,0,,Invalid request date
129,MX2300,2000222226,00010,X1G004451000300,5000,2025-08-11,5000×2025-09-03 (flight),5000×2025-09-01,5000,5000,0,2025-06-09,23,Awaiting Flight,Fully fulfilled from flights: 5000 (last departure: 2025-08-27),0,0,0,5000,5000×2025-08-27 (+16d),5000 from flight 2025-08-27 (+16d) → 2025-09-03
130,MX2300,2000227380,00010,X1G004451000300,1000,2025-08-11,1000×2025-10-27 (flight),1000×2025-10-22,1000,1000,0,2025-07-28,77,Awaiting Flight,Fully fulfilled from flights: 1000 (last departure: 2025-10-18),0,0,0,1000,1000×2025-10-18 (+68d),1000 from flight 2025-10-18 (+68d) → 2025-10-27
131,MX2300,2000226806,00010,X1G004451000400,1000,2025-11-03,1000×2025-10-17 (flight),1000×2025-10-15,1000,1000,0,2025-07-21,-17,Awaiting Flight,Fully fulfilled from flights: 1000 (last departure: 2025-10-11),0,0,0,1000,1000×2025-10-11,1000 from flight 2025-10-11 → 2025-10-17
132,MX2300,2000218815,00011,X1A000141000300,12000,2025-08-11,"9000×2025-09-10 (flight), 3000×2025-09-10 (flight)","9000×2025-09-08, 3000×2025-09-08",12000,12000,0,2025-05-06,30,Awaiting Flight,Fully fulfilled from flights: 12000 (last departure: 2025-09-04),0,0,0,12000,"9000×2025-09-04 (+24d), 3000×2025-09-04 (+24d)",9000 from flight 2025-09-04 (+24d) → 2025-09-10; 3000 from flight 2025-09-04 (+24d) → 2025-09-10
133,MX2300,2000220639,00010,X1A000141000300,9000,2025-08-11,9000×2025-09-10 (flight),9000×2025-09-08,9000,9000,0,2025-05-26,30,Awaiting Flight,Fully fulfilled from flights: 9000 (last departure: 2025-09-04),0,0,0,9000,9000×2025-09-04 (+24d),9000 from flight 2025-09-04 (+24d) → 2025-09-10
134,MX2300,2000222226,00020,X1A000141000300,12000,2025-08-11,12000×2025-09-10 (flight),12000×2025-09-08,12000,12000,0,2025-06-09,30,Awaiting Flight,Fully fulfilled from flights: 12000 (last departure: 2025-09-04),0,0,0,12000,12000×2025-09-04 (+24d),12000 from flight 2025-09-04 (+24d) → 2025-09-10
135,MX2300,2000222226,00030,X1A000141000300,12000,2025-08-25,6000×2025-10-13 (flight),6000×2025-10-08,6000,6000,6000,2025-06-09,49,Partial Flight Only,Partially fulfilled from flights: 6000/12000 (last departure: 2025-10-07). Remaining: 6000,0,0,0,6000,6000×2025-10-07 (+43d),6000 from flight 2025-10-07 (+43d) → 2025-10-13
136,MX2300,2000223578,00010,X1A000141000300,6000,2025-09-15,No Flights Available,N/A,0,0,6000,2025-06-23,0,No Inventory Available,No current stock or future flights available. Required: 6000,0,0,0,0,,No inventory available - no current stock or future flights
137,SH1500,2002718113,00010,X1B000391000116,3000,2025-08-22,No Flights Available,N/A,0,0,3000,2025-07-29,0,No Inventory Available,No current stock or future flights available. Required: 3000,0,0,0,0,,No inventory available - no current stock or future flights
138,SH1500,2002704339,00010,X1E000371000400,3000,2025-10-14,3000×2025-09-03 (flight),3000×2025-09-01,3000,3000,0,2025-05-19,-41,Awaiting Flight,Fully fulfilled from flights: 3000 (last departure: 2025-08-28),0,0,0,3000,3000×2025-08-28,3000 from flight 2025-08-28 → 2025-09-03
